station,foot_traffic
116 st,8388539.0
135 st,678765.2222222222
169 st,216447.55555555556
174-175 sts,108116.25
207 st,294398.2380952381
219 st,412387.28571428574
23 st,1159950.7777777778
231 st,140360.19444444444
28 st,2636136.3414634145
46 st,255053.35
49 st,908056.0
50 st,345068.77777777775
59 st,7053016.1
71 st,2215061.8333333335
77 st,254630.5
86 st,79478.66666666667
96 st,330105.5714285714
avenue h,191599.85714285713
avenue i,3768503.285714286
canal st,1394739.4
cortlandt st,217545.47222222222
east broadway,124536.0
elmhurst av,56818.04761904762
flushing av,140739.9
franklin av,2959857.35
fulton st,471001.6530612245
hoyt st,106750.3
kingsbridge rd,4016194.1666666665
metropolitan av,49651.25
rockaway av,79337.0
spring st,80201.5
van siclen av,1675813.75
wall st,6023682.285714285
wilson av,1132154.0
woodhaven blvd,572283.6666666666
woodlawn,5490846.666666667
