station,foot_traffic,college_deg_pct,med_income,200k_income_pct
116 st,8388539.0,0.39386189299999996,41596.0,0.060347455
135 st,678765.2222222222,0.6206642070000004,45673.0,0.06603212399999997
169 st,216447.55555555556,0.5831491030000001,65684.0,0.056179774999999994
174-175 sts,108116.25,0.635524026,70306.0,0.113033175
207 st,294398.2380952381,0.20962807899999988,29021.0,0.018250472000000004
219 st,412387.28571428574,0.117298578,13861.0,0.002283105
23 st,1159950.7777777778,0.8347668630000002,150949.0,0.277815239
231 st,140360.19444444444,0.1840189299999999,27086.0,0.0015467899999999995
28 st,2636136.3414634145,0.7660649820000002,130275.0,0.21564792199999996
46 st,255053.35,0.5050000000000001,112215.0,0.225
49 st,908056.0,0.44,106499.0,0.057471264
50 st,345068.77777777775,0.162991786,37385.0,0.05405405400000001
59 st,7053016.1,0.287713841,43903.0,0.036585366
71 st,2215061.8333333335,0.169536424,43859.0,0.009191176
77 st,254630.5,0.412794613,56894.0,0.05500450900000001
86 st,79478.66666666667,0.515545061,55999.0,0.125
96 st,330105.5714285714,0.250704225,12241.0,0.01734104
avenue h,191599.85714285713,0.4289906099999997,56722.0,0.03091684400000003
avenue i,3768503.285714286,0.18730358299999994,38099.0,0.0011862400000000005
canal st,1394739.4,0.6970185329999999,123445.0,0.38033395200000003
cortlandt st,217545.47222222222,0.840752913,120453.0,0.184576023
east broadway,124536.0,0.7889584959999999,114398.0,0.213399504
elmhurst av,56818.04761904762,0.14285714300000005,0.0,0.0
flushing av,140739.9,0.04676259,28416.0,0.002936858
franklin av,2959857.35,0.4627659570000001,48520.0,0.024380652999999988
fulton st,471001.6530612245,0.8323108379999989,114038.0,0.21042242400000044
hoyt st,106750.3,0.278779928,39429.0,0.009937888000000002
kingsbridge rd,4016194.1666666665,0.08990649699999999,27464.0,0.004215457
metropolitan av,49651.25,0.666910688,75949.0,0.10831381699999999
rockaway av,79337.0,0.18586387399999998,47914.0,0.015936255
spring st,80201.5,0.796875,40154.0,0.0
van siclen av,1675813.75,0.14345210599999997,31775.0,0.004721435
wall st,6023682.285714285,0.6637500000000002,80485.0,0.108761329
wilson av,1132154.0,0.151950719,48925.0,0.005405405
woodhaven blvd,572283.6666666666,0.24588280399999998,55737.0,0.01865369
woodlawn,5490846.666666667,0.12590328,25914.0,0.0054525630000000005
